generated_at,protocol_id,protocol_name,chain,mode,gate_pass,baseline_min_solvency,baseline_final_solvency,baseline_final_providers,baseline_final_price,break_even_price,break_even_min_solvency,break_even_pass,scale_max_providers,scale_min_solvency_at_max,scale_min_solvency_at_stress,defense_threat_yield,defense_suggested_emission,defense_baseline_churn_rate,defense_optimized_churn_rate,defense_improved,sensitivity_1_parameter,sensitivity_1_delta,sensitivity_2_parameter,sensitivity_2_delta,sensitivity_3_parameter,sensitivity_3_delta,flag_count,flags_text
2026-02-16T11:26:14.553Z,akash_v1,Akash,cosmos,full,false,0.005,0.8016,114.56,0.06814,0,0.2841,false,80,0.0068,0.0055,0.5,500000,2.9688,2.9688,true,Dilution Sensitivity,0.38,Emission Cap,0.28,Demand Strength,0.26,1,Break-even threshold is not met at suggested price.
2026-02-16T11:26:21.264Z,aleph_v1,Aleph.im,solana,full,false,0.0098,0.8117,254.72,0.103129,0,0.1911,false,150,0.0146,0.015,0.5,375000,2.4233,2.4233,true,Demand Strength,0.43,Churn Sensitivity,0.31,Emission Cap,0.04,1,Break-even threshold is not met at suggested price.
2026-02-16T11:27:01.427Z,dimo_v1,DIMO,polygon,full,true,0.7086,1.593,1486,39274.208053,0.12,1.0001,true,18750,0.8993,0.8993,0.5,30000,1.4318,1.3584,true,Dilution Sensitivity,10.88,Demand Strength,1.43,Churn Sensitivity,0.41,1,No immediate optimizer regressions detected in this run.
2026-02-16T11:27:14.076Z,filecoin_v1,Filecoin,filecoin,full,false,0.0036,42.4693,39.06,65.881884,0,0.4185,false,300,0.0119,0.0121,0.5,100000,2.4439,1.8023,true,Dilution Sensitivity,10.95,Emission Cap,2.55,Hardware CapEx,1.28,1,Break-even threshold is not met at suggested price.
2026-02-16T11:27:30.639Z,geodnet_v1,Geodnet,solana,full,false,0.3624,9.1581,157.2,2784.878377,0,0.5415,false,2000,0.2391,0.2477,0.5,50000,1.4866,1.0841,true,Dilution Sensitivity,10.96,Emission Cap,5.03,Demand Strength,3.75,1,Break-even threshold is not met at suggested price.
2026-02-16T11:27:48.084Z,grass_v1,Grass,solana,full,true,0.9118,158.3333,23600,1254.323386,1.41,1.0176,true,150,0.005,0.0058,0.5,2625000,1.3336,1.3336,true,Dilution Sensitivity,2.42,Demand Strength,0.41,Churn Sensitivity,0.04,1,No immediate optimizer regressions detected in this run.
2026-02-16T11:28:06.241Z,helium_bme_v1,Helium,solana,full,true,1.0742,158.3333,3936.8,1218.248448,0.38,1.0115,true,20,0.0032,0.0042,0.5,187500,2.4478,2.0624,true,Emission Cap,2.38,Dilution Sensitivity,2.15,Churn Sensitivity,0.03,1,No immediate optimizer regressions detected in this run.
2026-02-16T11:28:36.091Z,hivemapper_v1,Hivemapper,solana,full,true,1.1401,2.3792,2805.6,76316.22741,0.5,1.0055,true,36000,0.2168,0.2617,0.5,60000,2.2861,1.3525,true,Dilution Sensitivity,10.14,Churn Sensitivity,2.08,Demand Strength,1.78,1,No immediate optimizer regressions detected in this run.
2026-02-16T11:28:37.294Z,ionet_v1,io.net,solana,full,true,3.4713,4.6681,32,0.508015,0.1,1.0094,true,30,4.2042,4.4684,0.5,15000,4.4688,4.4688,true,Demand Strength,19.93,Emission Cap,11.66,Hardware CapEx,3.57,1,No immediate optimizer regressions detected in this run.
2026-02-16T11:28:44.850Z,nosana_v1,Nosana,solana,full,false,0,0,43.2,0.073375,0,0,false,100,0,0,0.5,190000,1.5645,1.5645,true,Hardware CapEx,0,Churn Sensitivity,0,Emission Cap,0,1,Break-even threshold is not met at suggested price.
2026-02-16T11:29:00.117Z,ono_v3_calibrated,ONOCOY,solana,full,false,0.1923,1.1972,3795.72,0.926994,0,0.4787,false,3300,0.1802,0.1714,0.5,5000000,1.823,1.823,true,Dilution Sensitivity,0.82,Emission Cap,0.16,Demand Strength,0.16,1,Break-even threshold is not met at suggested price.
2026-02-16T11:29:12.925Z,adaptive_elastic_v1,Render,solana,full,true,0.0122,106.2837,78.2,81.75132,0.02,1,true,300,0.0381,0.0385,0.5,50000,2.5458,1.537,true,Dilution Sensitivity,7.87,Emission Cap,3.79,Demand Strength,3.12,1,Scale stress check did not degrade retention as expected; verify scale boundary assumptions.
2026-02-16T11:29:29.467Z,xnet_v1,XNET,solana,full,false,0.1681,0.2484,3376.8,0.096189,0,0.5139,false,2400,0.2284,0.2562,0.5,125000,2.5329,2.1056,true,Dilution Sensitivity,0.63,Hardware CapEx,0.09,Churn Sensitivity,0.09,1,Break-even threshold is not met at suggested price.
