user_sequence	title	source	type	captured_on	evidence_tier	status	file_path	notes
1	Why Onocoy Is My #1 DePIN Pick for 2025: 4 Reasons + Huge Reward Boost	Nordic Crypto (YouTube creator)	Video transcript	2026-02-14	third_party_secondary	collected	/Users/devinsonpena/Desktop/Files/DePin-Stress-Test/references/onocoy_transcripts/raw/2026-02-14_nordic-crypto_why-onocoy-is-my-1-depin-pick-2025-transcript.txt	Use for narrative/context; verify quantitative claims with primary sources.
2	AI-Driven GNSS Spoofing Detection in Community Reference Networks	Onocoy	Video transcript	2026-02-14	official_secondary	collected	/Users/devinsonpena/Desktop/Files/DePin-Stress-Test/references/onocoy_transcripts/raw/2026-02-14_onocoy_ai-driven-gnss-spoofing-detection-transcript.txt	Useful for spoofing/ML research direction statements.
3	$ONO Tokenomics Explained	Onocoy	Video transcript	2026-02-14	official_secondary	collected	/Users/devinsonpena/Desktop/Files/DePin-Stress-Test/references/onocoy_transcripts/raw/2026-02-14_onocoy_ono-tokenomics-explained-transcript.txt	Contains token model claims (cap, burn, release schedule) to verify with docs/on-chain.
4	Transcript of Prof. Li-Ta Hsu on GNSS, RTK, and the Future of Decentralized Navigation	Onocoy	Video transcript	2026-02-14	official_secondary	collected	/Users/devinsonpena/Desktop/Files/DePin-Stress-Test/references/onocoy_transcripts/raw/2026-02-14_onocoy_prof-li-ta-hsu-gnss-rtk-future-decentralized-navigation-transcript.txt	Use for market/use-case framing, not hard KPI evidence.
5	Learn all about the onocoy Location Scale and how it impacts your rewards!	Onocoy	Video transcript	2026-02-14	official_secondary	collected	/Users/devinsonpena/Desktop/Files/DePin-Stress-Test/references/onocoy_transcripts/raw/2026-02-14_onocoy_location-scale-rewards-transcript.txt	High value for reward formula assumptions and variable definitions.
6	Building a 100k-Station Network with DePIN innovation | Daniel Ammann: Onocoy (#39)	DePIN Podcast	Video transcript	2026-02-14	interview_secondary	collected	/Users/devinsonpena/Desktop/Files/DePin-Stress-Test/references/onocoy_transcripts/raw/2026-02-14_depin-podcast_building-a-100k-station-network-with-depin-innovation-daniel-ammann-onocoy-39-transcript.txt	Broad strategic discussion; confirm numeric claims independently.
7	Onocoy TGE & The Horizontal Play	Gold Hawks and Associates (DePIN show)	Video transcript	2026-02-14	interview_secondary	collected	/Users/devinsonpena/Desktop/Files/DePin-Stress-Test/references/onocoy_transcripts/raw/2026-02-14_gold-hawks_onocoy-tge-and-the-horizontal-play-transcript.txt	TGE timing/conversion statements are time-sensitive and need primary confirmation.
8	[Missing transcript entry in user list]	[Unknown]	[Unknown]	2026-02-14	n/a	missing		User numbering skipped item #8; no content provided.
9	What is DePIN? The Future of Decentralized Infrastructure	Fluence	Video transcript	2026-02-14	third_party_secondary	collected	/Users/devinsonpena/Desktop/Files/DePin-Stress-Test/references/onocoy_transcripts/raw/2026-02-14_fluence_what-is-depin-future-of-decentralized-infrastructure-transcript.txt	Background framing for DePIN thesis context.
10	DePIN Tokenomics: How Token Models Shape the Market	Fluence	Video transcript	2026-02-14	third_party_secondary	collected	/Users/devinsonpena/Desktop/Files/DePin-Stress-Test/references/onocoy_transcripts/raw/2026-02-14_fluence_depin-tokenomics-how-token-models-shape-the-market-transcript.txt	Background tokenomics framing; not Onocoy primary data.
