protocol_id,label,target_utilization,liquidity_pct_of_market_cap,liquidity_min_usd,liquidity_max_usd,liquidity_floor_usd,investor_sell_multiplier,investor_sell_pct_min,investor_sell_pct_max,emission_cap_pct_of_supply,base_demand_floor,break_even_mint_multiplier,burn_backed_demand_fraction,burn_backed_mint_multiplier
default,DEFAULT,,0.002,150000,25000000,500000,,0.01,0.12,0.005,12000,1.8,0.5,3.0
ono_v3_calibrated,ONOCOY,0.45,0.002,150000,25000000,500000,0.70,0.01,0.12,0.005,12000,1.8,0.5,3.0
helium_bme_v1,Helium,0.35,0.002,150000,25000000,500000,0.35,0.01,0.12,0.005,12000,1.8,0.5,3.0
adaptive_elastic_v1,Render,0.45,0.002,150000,25000000,500000,0.70,0.01,0.12,0.005,12000,1.8,0.5,3.0
filecoin_v1,Filecoin,0.45,0.002,150000,25000000,500000,0.70,0.01,0.12,0.005,12000,1.8,0.5,3.0
akash_v1,Akash,0.28,0.002,150000,25000000,500000,0.70,0.01,0.12,0.005,12000,1.8,0.5,3.0
hivemapper_v1,Hivemapper,0.45,0.002,150000,25000000,500000,0.50,0.01,0.12,0.005,12000,1.8,0.5,3.0
dimo_v1,DIMO,0.45,0.002,150000,25000000,500000,0.50,0.01,0.12,0.005,12000,1.8,0.5,3.0
grass_v1,Grass,0.45,0.002,150000,25000000,500000,0.35,0.01,0.12,0.005,12000,1.8,0.5,3.0
ionet_v1,io.net,0.45,0.002,150000,25000000,500000,0.50,0.01,0.12,0.005,12000,1.8,0.5,3.0
nosana_v1,Nosana,0.45,0.002,150000,25000000,500000,0.70,0.01,0.12,0.005,12000,1.8,0.5,3.0
geodnet_v1,Geodnet,0.45,0.002,150000,25000000,500000,0.50,0.01,0.12,0.005,12000,1.8,0.5,3.0
aleph_v1,Aleph.im,0.45,0.002,150000,25000000,500000,0.90,0.01,0.12,0.005,12000,1.8,0.5,3.0
xnet_v1,XNET,0.45,0.002,150000,25000000,500000,0.70,0.01,0.12,0.005,12000,1.8,0.5,3.0
