record_type	protocol_id	profile_version	name	mechanism	model_type	source	coingecko_id	chain	notes	supply_tokens	emissions_tokens_per_week	burn_fraction	adjustment_lag_weeks	demand_regime	opex_weekly_usd	churn_threshold_usd_week	initial_active_providers	initial_price_usd	hardware_cost_usd	pro_tier_pct	target_utilization	liquidity_pct_of_market_cap	liquidity_min_usd	liquidity_max_usd	liquidity_floor_usd	investor_sell_multiplier	investor_sell_pct_min	investor_sell_pct_max	emission_cap_pct_of_supply	base_demand_floor	break_even_mint_multiplier	burn_backed_demand_fraction	burn_backed_mint_multiplier	diagnostic_project_id	diagnostic_category	diagnostic_risk_level	diagnostic_all_core_points_verified
default	default																					0.002	150000	25000000	500000		0.01	0.12	0.005	12000	1.8	0.5	3.0				
protocol	ono_v3_calibrated	1.2	ONOCOY	Fixed Emissions w/ Partial Burn	location_based	CoinGecko + Onocoy Docs	onocoy-token	solana	Real data from CoinGecko. GPS/GNSS precision network. ~3000 active stations.	410000000	5000000	0.65	6	growth	30	10	3000	0.1	150	0.4	0.45	0.002	150000	25000000	500000	0.70	0.01	0.12	0.005	12000	1.8	0.5	3.0	onocoy	GNSS Corrections	low	true
protocol	helium_bme_v1	1.2	Helium	Burn-and-Mint Equilibrium	location_based	CoinGecko + Helium Explorer	helium	solana	Real Helium Network data. IoT/5G wireless network. 370K+ hotspots.	180000000	625000	1	0	consistent	8	2	370000	3	300	0.2	0.35	0.002	150000	25000000	500000	0.35	0.01	0.12	0.005	12000	1.8	0.5	3.0	helium_mobile	5G Wireless	moderate	true
protocol	adaptive_elastic_v1	1.2	Render	Burn-and-Mint + Work Rewards	fungible_resource	CoinGecko + Render Docs	render-token	solana	Real Render Network data. Distributed GPU computing. Elastic supply based on work.	520000000	1000000	0.5	1	growth	75	25	5000	4.5	800	0.8	0.45	0.002	150000	25000000	500000	0.70	0.01	0.12	0.005	12000	1.8	0.5	3.0	render	GPU Compute	low	true
protocol	filecoin_v1	1.2	Filecoin	Proof-of-Storage + Collateral	fungible_resource	CoinGecko + Filecoin Docs	filecoin	filecoin	Decentralised storage network. Storage providers stake FIL as collateral.	500000000	2000000	0.3	4	growth	150	50	3500	5	2500	0.9	0.45	0.002	150000	25000000	500000	0.70	0.01	0.12	0.005	12000	1.8	0.5	3.0				
protocol	akash_v1	1.2	Akash	Reverse Auction Marketplace	fungible_resource	CoinGecko + Akash Docs	akash-network	cosmos	Decentralised cloud computing. Providers bid for compute jobs.	230000000	500000	0.2	2	volatile	40	15	1000	2.5	500	0.6	0.28	0.002	150000	25000000	500000	0.70	0.01	0.12	0.005	12000	1.8	0.5	3.0				
protocol	hivemapper_v1	1.2	Hivemapper	Map-to-Earn + Data Sales	location_based	CoinGecko + Hivemapper Docs	hivemapper	solana	Decentralised mapping using dashcams. Rewards for fresh map coverage.	100000000	3000000	0.4	1	growth	5	2	60000	0.15	300	0.1	0.45	0.002	150000	25000000	500000	0.50	0.01	0.12	0.005	12000	1.8	0.5	3.0	hivemapper	Mapping	high	true
protocol	dimo_v1	1.2	DIMO	Vehicle Data Marketplace	location_based	CoinGecko + DIMO Docs	dimo	polygon	User-owned vehicle data network. Drivers earn for sharing telemetry.	70000000	1500000	0.25	2	growth	2	1	25000	0.2	300	0.05	0.45	0.002	150000	25000000	500000	0.50	0.01	0.12	0.005	12000	1.8	0.5	3.0	dimo	Vehicle Data	moderate	true
protocol	grass_v1	1.2	Grass	Bandwidth Sharing + AI Data	fungible_resource	CoinGecko + Grass Foundation	grass	solana	Residential proxy network for AI training. 2.5M+ nodes. Solana L2.	244000000	3500000	0.1	0	growth	0.5	0.1	2500000	1.5	0	0.01	0.45	0.002	150000	25000000	500000	0.35	0.01	0.12	0.005	12000	1.8	0.5	3.0	grass	AI Data / Bandwidth	extreme	true
protocol	ionet_v1	1.2	io.net	GPU Marketplace + Staking	fungible_resource	CoinGecko + io.net Docs	io	solana	Decentralized GPU cloud. 800M max supply with disinflationary emissions over 20 years.	500000000	15000	0.9	0	growth	20	0	20	0.03	800	0.5	0.45	0.002	150000	25000000	500000	0.50	0.01	0.12	0.005	12000	1.8	0.5	3.0	ionet	GPU Compute	moderate	true
protocol	nosana_v1	1.2	Nosana	GPU Grid + CI/CD	fungible_resource	CoinGecko + Nosana Docs	nosana	solana	Solana-native GPU grid for AI inference. 100M max supply. Mining rewards ending 2025.	48000000	190000	0	1	growth	40	15	3000	3.5	600	0.7	0.45	0.002	150000	25000000	500000	0.70	0.01	0.12	0.005	12000	1.8	0.5	3.0	nosana	AI Inference Compute	low	true
protocol	geodnet_v1	1.2	Geodnet	RTK Mining + Token Burn	location_based	CoinGecko + Geodnet Docs	geodnet	solana	GNSS/RTK network for precision positioning. 80% revenue burn. Annual emission halving.	440000000	2500000	0.8	0	growth	20	8	10000	0.15	500	0.6	0.45	0.002	150000	25000000	500000	0.50	0.01	0.12	0.005	12000	1.8	0.5	3.0	geodnet	GNSS Corrections	low	true
protocol	aleph_v1	1.2	Aleph.im	Staking + Utility Sink	fungible_resource	CoinGecko + Aleph Docs	aleph	solana	Decentralized cloud computing. 500M max supply. Staking-based security.	244000000	375000	0.1	2	growth	15	5	500	0.3	0	0.4	0.45	0.002	150000	25000000	500000	0.90	0.01	0.12	0.005	12000	1.8	0.5	3.0				
protocol	xnet_v1	1.2	XNET	Wireless + Revitilization Burn	location_based	CoinGecko + XNET Docs	xnet-mobile	solana	Mobile network on Solana. 80% revenue buy-and-burn. 2.5M/epoch emissions.	137000000	1250000	0.8	0	growth	10	5	1200	0.04	900	0.7	0.45	0.002	150000	25000000	500000	0.70	0.01	0.12	0.005	12000	1.8	0.5	3.0				
